bw,delay,bdp,cc_algo,scenario
10,30,37500,reno,reno
10,30,37500,reno,cubic
10,30,37500,reno,half
10,30,37500,cubic,reno
10,30,37500,cubic,cubic
10,30,37500,cubic,half
10,30,18750,reno,reno
10,30,18750,reno,cubic
10,30,18750,reno,half
10,30,18750,cubic,reno
10,30,18750,cubic,cubic
10,30,18750,cubic,half
10,30,9375,reno,reno
10,30,9375,reno,cubic
10,30,9375,reno,half
10,30,9375,cubic,reno
10,30,9375,cubic,cubic
10,30,9375,cubic,half
10,40,50000,reno,reno
10,40,50000,reno,cubic
10,40,50000,reno,half
10,40,50000,cubic,reno
10,40,50000,cubic,cubic
10,40,50000,cubic,half
10,40,25000,reno,reno
10,40,25000,reno,cubic
10,40,25000,reno,half
10,40,25000,cubic,reno
10,40,25000,cubic,cubic
10,40,25000,cubic,half
10,40,12500,reno,reno
10,40,12500,reno,cubic
10,40,12500,reno,half
10,40,12500,cubic,reno
10,40,12500,cubic,cubic
10,40,12500,cubic,half
10,50,62500,reno,reno
10,50,62500,reno,cubic
10,50,62500,reno,half
10,50,62500,cubic,reno
10,50,62500,cubic,cubic
10,50,62500,cubic,half
10,50,31250,reno,reno
10,50,31250,reno,cubic
10,50,31250,reno,half
10,50,31250,cubic,reno
10,50,31250,cubic,cubic
10,50,31250,cubic,half
10,50,15625,reno,reno
10,50,15625,reno,cubic
10,50,15625,reno,half
10,50,15625,cubic,reno
10,50,15625,cubic,cubic
10,50,15625,cubic,half
10,60,75000,reno,reno
10,60,75000,reno,cubic
10,60,75000,reno,half
10,60,75000,cubic,reno
10,60,75000,cubic,cubic
10,60,75000,cubic,half
10,60,37500,reno,reno
10,60,37500,reno,cubic
10,60,37500,reno,half
10,60,37500,cubic,reno
10,60,37500,cubic,cubic
10,60,37500,cubic,half
10,60,18750,reno,reno
10,60,18750,reno,cubic
10,60,18750,reno,half
10,60,18750,cubic,reno
10,60,18750,cubic,cubic
10,60,18750,cubic,half
10,70,87500,reno,reno
10,70,87500,reno,cubic
10,70,87500,reno,half
10,70,87500,cubic,reno
10,70,87500,cubic,cubic
10,70,87500,cubic,half
10,70,43750,reno,reno
10,70,43750,reno,cubic
10,70,43750,reno,half
10,70,43750,cubic,reno
10,70,43750,cubic,cubic
10,70,43750,cubic,half
10,70,21875,reno,reno
10,70,21875,reno,cubic
10,70,21875,reno,half
10,70,21875,cubic,reno
10,70,21875,cubic,cubic
10,70,21875,cubic,half
20,30,75000,reno,reno
20,30,75000,reno,cubic
20,30,75000,reno,half
20,30,75000,cubic,reno
20,30,75000,cubic,cubic
20,30,75000,cubic,half
20,30,37500,reno,reno
20,30,37500,reno,cubic
20,30,37500,reno,half
20,30,37500,cubic,reno
20,30,37500,cubic,cubic
20,30,37500,cubic,half
20,30,18750,reno,reno
20,30,18750,reno,cubic
20,30,18750,reno,half
20,30,18750,cubic,reno
20,30,18750,cubic,cubic
20,30,18750,cubic,half
20,40,100000,reno,reno
20,40,100000,reno,cubic
20,40,100000,reno,half
20,40,100000,cubic,reno
20,40,100000,cubic,cubic
20,40,100000,cubic,half
20,40,50000,reno,reno
20,40,50000,reno,cubic
20,40,50000,reno,half
20,40,50000,cubic,reno
20,40,50000,cubic,cubic
20,40,50000,cubic,half
20,40,25000,reno,reno
20,40,25000,reno,cubic
20,40,25000,reno,half
20,40,25000,cubic,reno
20,40,25000,cubic,cubic
20,40,25000,cubic,half
20,50,125000,reno,reno
20,50,125000,reno,cubic
20,50,125000,reno,half
20,50,125000,cubic,reno
20,50,125000,cubic,cubic
20,50,125000,cubic,half
20,50,62500,reno,reno
20,50,62500,reno,cubic
20,50,62500,reno,half
20,50,62500,cubic,reno
20,50,62500,cubic,cubic
20,50,62500,cubic,half
20,50,31250,reno,reno
20,50,31250,reno,cubic
20,50,31250,reno,half
20,50,31250,cubic,reno
20,50,31250,cubic,cubic
20,50,31250,cubic,half
20,60,150000,reno,reno
20,60,150000,reno,cubic
20,60,150000,reno,half
20,60,150000,cubic,reno
20,60,150000,cubic,cubic
20,60,150000,cubic,half
20,60,75000,reno,reno
20,60,75000,reno,cubic
20,60,75000,reno,half
20,60,75000,cubic,reno
20,60,75000,cubic,cubic
20,60,75000,cubic,half
20,60,37500,reno,reno
20,60,37500,reno,cubic
20,60,37500,reno,half
20,60,37500,cubic,reno
20,60,37500,cubic,cubic
20,60,37500,cubic,half
20,70,175000,reno,reno
20,70,175000,reno,cubic
20,70,175000,reno,half
20,70,175000,cubic,reno
20,70,175000,cubic,cubic
20,70,175000,cubic,half
20,70,87500,reno,reno
20,70,87500,reno,cubic
20,70,87500,reno,half
20,70,87500,cubic,reno
20,70,87500,cubic,cubic
20,70,87500,cubic,half
20,70,43750,reno,reno
20,70,43750,reno,cubic
20,70,43750,reno,half
20,70,43750,cubic,reno
20,70,43750,cubic,cubic
20,70,43750,cubic,half
30,30,112500,reno,reno
30,30,112500,reno,cubic
30,30,112500,reno,half
30,30,112500,cubic,reno
30,30,112500,cubic,cubic
30,30,112500,cubic,half
30,30,56250,reno,reno
30,30,56250,reno,cubic
30,30,56250,reno,half
30,30,56250,cubic,reno
30,30,56250,cubic,cubic
30,30,56250,cubic,half
30,30,28125,reno,reno
30,30,28125,reno,cubic
30,30,28125,reno,half
30,30,28125,cubic,reno
30,30,28125,cubic,cubic
30,30,28125,cubic,half
30,40,150000,reno,reno
30,40,150000,reno,cubic
30,40,150000,reno,half
30,40,150000,cubic,reno
30,40,150000,cubic,cubic
30,40,150000,cubic,half
30,40,75000,reno,reno
30,40,75000,reno,cubic
30,40,75000,reno,half
30,40,75000,cubic,reno
30,40,75000,cubic,cubic
30,40,75000,cubic,half
30,40,37500,reno,reno
30,40,37500,reno,cubic
30,40,37500,reno,half
30,40,37500,cubic,reno
30,40,37500,cubic,cubic
30,40,37500,cubic,half
30,50,187500,reno,reno
30,50,187500,reno,cubic
30,50,187500,reno,half
30,50,187500,cubic,reno
30,50,187500,cubic,cubic
30,50,187500,cubic,half
30,50,93750,reno,reno
30,50,93750,reno,cubic
30,50,93750,reno,half
30,50,93750,cubic,reno
30,50,93750,cubic,cubic
30,50,93750,cubic,half
30,50,46875,reno,reno
30,50,46875,reno,cubic
30,50,46875,reno,half
30,50,46875,cubic,reno
30,50,46875,cubic,cubic
30,50,46875,cubic,half
30,60,225000,reno,reno
30,60,225000,reno,cubic
30,60,225000,reno,half
30,60,225000,cubic,reno
30,60,225000,cubic,cubic
30,60,225000,cubic,half
30,60,112500,reno,reno
30,60,112500,reno,cubic
30,60,112500,reno,half
30,60,112500,cubic,reno
30,60,112500,cubic,cubic
30,60,112500,cubic,half
30,60,56250,reno,reno
30,60,56250,reno,cubic
30,60,56250,reno,half
30,60,56250,cubic,reno
30,60,56250,cubic,cubic
30,60,56250,cubic,half
30,70,262500,reno,reno
30,70,262500,reno,cubic
30,70,262500,reno,half
30,70,262500,cubic,reno
30,70,262500,cubic,cubic
30,70,262500,cubic,half
30,70,131250,reno,reno
30,70,131250,reno,cubic
30,70,131250,reno,half
30,70,131250,cubic,reno
30,70,131250,cubic,cubic
30,70,131250,cubic,half
30,70,65625,reno,reno
30,70,65625,reno,cubic
30,70,65625,reno,half
30,70,65625,cubic,reno
30,70,65625,cubic,cubic
30,70,65625,cubic,half
40,30,150000,reno,reno
40,30,150000,reno,cubic
40,30,150000,reno,half
40,30,150000,cubic,reno
40,30,150000,cubic,cubic
40,30,150000,cubic,half
40,30,75000,reno,reno
40,30,75000,reno,cubic
40,30,75000,reno,half
40,30,75000,cubic,reno
40,30,75000,cubic,cubic
40,30,75000,cubic,half
40,30,37500,reno,reno
40,30,37500,reno,cubic
40,30,37500,reno,half
40,30,37500,cubic,reno
40,30,37500,cubic,cubic
40,30,37500,cubic,half
40,40,200000,reno,reno
40,40,200000,reno,cubic
40,40,200000,reno,half
40,40,200000,cubic,reno
40,40,200000,cubic,cubic
40,40,200000,cubic,half
40,40,100000,reno,reno
40,40,100000,reno,cubic
40,40,100000,reno,half
40,40,100000,cubic,reno
40,40,100000,cubic,cubic
40,40,100000,cubic,half
40,40,50000,reno,reno
40,40,50000,reno,cubic
40,40,50000,reno,half
40,40,50000,cubic,reno
40,40,50000,cubic,cubic
40,40,50000,cubic,half
40,50,250000,reno,reno
40,50,250000,reno,cubic
40,50,250000,reno,half
40,50,250000,cubic,reno
40,50,250000,cubic,cubic
40,50,250000,cubic,half
40,50,125000,reno,reno
40,50,125000,reno,cubic
40,50,125000,reno,half
40,50,125000,cubic,reno
40,50,125000,cubic,cubic
40,50,125000,cubic,half
40,50,62500,reno,reno
40,50,62500,reno,cubic
40,50,62500,reno,half
40,50,62500,cubic,reno
40,50,62500,cubic,cubic
40,50,62500,cubic,half
40,60,300000,reno,reno
40,60,300000,reno,cubic
40,60,300000,reno,half
40,60,300000,cubic,reno
40,60,300000,cubic,cubic
40,60,300000,cubic,half
40,60,150000,reno,reno
40,60,150000,reno,cubic
40,60,150000,reno,half
40,60,150000,cubic,reno
40,60,150000,cubic,cubic
40,60,150000,cubic,half
40,60,75000,reno,reno
40,60,75000,reno,cubic
40,60,75000,reno,half
40,60,75000,cubic,reno
40,60,75000,cubic,cubic
40,60,75000,cubic,half
40,70,350000,reno,reno
40,70,350000,reno,cubic
40,70,350000,reno,half
40,70,350000,cubic,reno
40,70,350000,cubic,cubic
40,70,350000,cubic,half
40,70,175000,reno,reno
40,70,175000,reno,cubic
40,70,175000,reno,half
40,70,175000,cubic,reno
40,70,175000,cubic,cubic
40,70,175000,cubic,half
40,70,87500,reno,reno
40,70,87500,reno,cubic
40,70,87500,reno,half
40,70,87500,cubic,reno
40,70,87500,cubic,cubic
40,70,87500,cubic,half
50,30,187500,reno,reno
50,30,187500,reno,cubic
50,30,187500,reno,half
50,30,187500,cubic,reno
50,30,187500,cubic,cubic
50,30,187500,cubic,half
50,30,93750,reno,reno
50,30,93750,reno,cubic
50,30,93750,reno,half
50,30,93750,cubic,reno
50,30,93750,cubic,cubic
50,30,93750,cubic,half
50,30,46875,reno,reno
50,30,46875,reno,cubic
50,30,46875,reno,half
50,30,46875,cubic,reno
50,30,46875,cubic,cubic
50,30,46875,cubic,half
50,40,250000,reno,reno
50,40,250000,reno,cubic
50,40,250000,reno,half
50,40,250000,cubic,reno
50,40,250000,cubic,cubic
50,40,250000,cubic,half
50,40,125000,reno,reno
50,40,125000,reno,cubic
50,40,125000,reno,half
50,40,125000,cubic,reno
50,40,125000,cubic,cubic
50,40,125000,cubic,half
50,40,62500,reno,reno
50,40,62500,reno,cubic
50,40,62500,reno,half
50,40,62500,cubic,reno
50,40,62500,cubic,cubic
50,40,62500,cubic,half
50,50,312500,reno,reno
50,50,312500,reno,cubic
50,50,312500,reno,half
50,50,312500,cubic,reno
50,50,312500,cubic,cubic
50,50,312500,cubic,half
50,50,156250,reno,reno
50,50,156250,reno,cubic
50,50,156250,reno,half
50,50,156250,cubic,reno
50,50,156250,cubic,cubic
50,50,156250,cubic,half
50,50,78125,reno,reno
50,50,78125,reno,cubic
50,50,78125,reno,half
50,50,78125,cubic,reno
50,50,78125,cubic,cubic
50,50,78125,cubic,half
50,60,375000,reno,reno
50,60,375000,reno,cubic
50,60,375000,reno,half
50,60,375000,cubic,reno
50,60,375000,cubic,cubic
50,60,375000,cubic,half
50,60,187500,reno,reno
50,60,187500,reno,cubic
50,60,187500,reno,half
50,60,187500,cubic,reno
50,60,187500,cubic,cubic
50,60,187500,cubic,half
50,60,93750,reno,reno
50,60,93750,reno,cubic
50,60,93750,reno,half
50,60,93750,cubic,reno
50,60,93750,cubic,cubic
50,60,93750,cubic,half
50,70,437500,reno,reno
50,70,437500,reno,cubic
50,70,437500,reno,half
50,70,437500,cubic,reno
50,70,437500,cubic,cubic
50,70,437500,cubic,half
50,70,218750,reno,reno
50,70,218750,reno,cubic
50,70,218750,reno,half
50,70,218750,cubic,reno
50,70,218750,cubic,cubic
50,70,218750,cubic,half
50,70,109375,reno,reno
50,70,109375,reno,cubic
50,70,109375,reno,half
50,70,109375,cubic,reno
50,70,109375,cubic,cubic
50,70,109375,cubic,half
